nuclide,Z,A,mean_I_adj,sigma2,P_I0,P_I2,P_lost,spin_correction_factor
ge82,32,82,3.1,4.236666666666666,0.11344663949830214,0.27940620279716183,0.39285284229546397,1.6470471570364218
ge84,32,84,2.92,3.815466666666666,0.12541970740157868,0.2856679925038604,0.41108769990543903,1.6980457019482038
se84,34,84,2.85,3.6575,0.1305876345994456,0.287507815478139,0.4180954500775846,1.7184948977170376
se86,34,86,3.26,4.6292,0.10417658178623866,0.27245273065754644,0.3766293124437851,1.6041819417596872
se88,34,88,3.41,5.012700000000001,0.09647376129255411,0.26513234567221733,0.36160610696477147,1.5664310246539543
kr88,36,88,3.75,5.9375,0.08187299625793569,0.2469890429233459,0.3288620391812816,1.490006613215715
kr90,36,90,3.72,5.852800000000001,0.08302390785414523,0.248636340124896,0.33166024797904126,1.4962449816521473
kr92,36,92,4.1,6.969999999999999,0.0700369262751799,0.22770352748177267,0.29774045375695257,1.4239749467982405
kr94,36,94,5.02,10.073466666666665,0.04881952587491879,0.18122805158355063,0.23004757745846943,1.2987815489937766
sr92,38,92,3.05,4.1175,0.11659602028827469,0.2813376655097653,0.39793368579804,1.6609466040721808
sr94,38,94,3.44,5.0912,0.09503529739273325,0.2636003798900926,0.35863567728282586,1.5591762194745207
sr96,38,96,4.52,8.316799999999999,0.05892408896152856,0.20540265846612968,0.2643267474276582,1.359299113435779
sr98,38,98,5.01,10.0367,0.04899538300755773,0.18168255408947484,0.23067793709703258,1.2998457320027845
zr98,40,98,5.4,11.520000000000001,0.04277845914736869,0.16485329063579107,0.20763174978315976,1.2620394617355493
zr100,40,100,5.07,10.2583,0.04795424027690289,0.17897372802677988,0.22692796830368278,1.2935405227450085
sn130,50,130,2.29,2.511366666666667,0.18622424507181637,0.2819756682183797,0.46819991329019606,1.8804058611327124
sn132,50,132,2.64,3.2032000000000003,0.1481380130568186,0.29033018253037196,0.4384681955871905,1.7808430299788525
te132,52,132,2.38,2.6814666666666667,0.17515707573572153,0.2860968379839757,0.46125391371969726,1.856161975865775
te134,52,134,2.44,2.7978666666666663,0.1683103445623435,0.2880119454009325,0.456322289963276,1.8393249926182418
te136,52,136,3.83,6.1663,0.07891772674180937,0.24257922890575945,0.3214969556475688,1.4738327385905956
te138,52,138,3.74,5.909200000000001,0.08225397505347917,0.2475386409183594,0.32979261597183857,1.492075473698423
xe138,54,138,3.53,5.3302999999999985,0.09090660057860399,0.2589022094402007,0.3498088100188047,1.5380091508605673
xe140,54,140,6.7,17.19666666666667,0.02879469785344557,0.12092575558393219,0.14972045343737775,1.1760837997840172
xe142,54,142,6.6,16.72,0.02960740136173984,0.12372191809243632,0.15332931945417616,1.1810967628586468
ba142,56,142,4.87,9.528966666666667,0.05156021147810275,0.18817242039311372,0.23973263187121646,1.3153267415136614
ba144,56,144,6.49,16.203366666666668,0.03054168484413318,0.12689800720689604,0.1574396920510292,1.1868586623007222
ba146,56,146,6.03,14.1303,0.034969548760653564,0.14140185078750708,0.17637139954816064,1.2141394791917182
ce148,58,148,6.7,17.19666666666667,0.02879469785344557,0.12092575558393219,0.14972045343737775,1.1760837997840172
ce150,58,150,7.74,22.5492,0.022010327401083742,0.09634228018709709,0.11835260758818084,1.134240296752217
